Id,Review,Label
0,good and interesting,5
1,"This class is very helpful to me. Currently, I'm still learning this class which makes up a lot of basic music knowledge.",5
2,like!Prof and TAs are helpful and the discussion among students are quite active. Very rewarding learning experience!,5
3,Easy to follow and includes a lot basic and important techniques to use sketchup.,5
4,Really nice teacher!I could got the point eazliy but the v,4
5,"Great course - I recommend it for all, especially IT and Business Managers!",5
6,One of the most useful course on IT Management!,5
7,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example.",3
8,Super content. I'll definitely re-do the course,5
9,One of the excellent courses at Coursera for information technology bosses and managers.,5
10,"Is there any reason why you should not apply the course by BCG?)It's content is pretty unique and includes a high level analysis and a wide range of knowledge needed to cover all detailed aspects.Best regards,Oleg Serov",5
11,Excellent course and teachers. Congratulations!!,5
12,This is a good course for an CIO in a non technical company.,5
13,"Good content, but the course setting does (at least for me) not allow learn the content long term due to missing reading material.",3
14,Very structured approach. Thank you for sharing with me.,5
15,"Program demystifies the evolving world of CIOs in a typical global corporation.Coverage being introductory familiarizes participants nicely through some of the nuances & emerging trends.When I took the course participant numbers was fewer, so feedback was quite delayed. So one should plan to be patient to get their peer reviews.Based on peer reviews i sensed much variations in their expectations.Few sections are in French with Subtitles.Subtitle quality requires audit/review.",4
16,Very relevant and useful course designed for CIOs,5
17,This course does not say anything about digitization which is the core subject of the digital wave.,2
18,Videos that are presented in French could've been translated to English.,4
19,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le.",3
20,"Great piece of work, I especially liked a few 'lifehacks' for the CIO",5
21,"Excellent course, for me it was very rewarding and the terms used and the tools given were excellent, and today and I put in use in my job, Thank you for inculcating knowledge and move on",5
22,"Excellent... It is a representation of our day by day, thanks for sharing your vision, experience and advices...RegardsDaniel Damas",4
23,Very interesting and well-designed MOOC !,5
24,Excellent course! Totally recommended!,5
25,Great course information and content ! Very interesting ! Unfortunately there is a peer graded assignment which 3 classmates must grade. Although two of my classmates gave me all passing grades one classmate gave me all 0's and didn't really justify why; which made me have to re submit my assignment. Thankfully 3 other amazing classmates saw the quality of my work :),4
26,Very interesting course. I learned a lot about the history of Aboriginal education.,5
27,Great content! Learned a lot.,5
28,"This has been an phenomenal course on the education and worldviews of First Nations people. As an educator in a First Nation's community in Ontario's north, the knowledge in the lectures has been phenomenal.",5
29,I found this course was very interesting and a great learning tool and I am glad I would recommend this course to people Ni:Awen,5
30,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD. Would appreciate if the English subtitle is available in the whole course, so more students could access to these handy lectures and exercises.",5
31,Very Basic course for learners without Autocad experiences.,5
32,Good quality.,5
33,Thanks.,5
34,Course is comprehensive and detailed. But is a bit fast paced for people new to IT Finance,4
35,A very great course for all IT person,5
36,I think it should be a more engaged course with practical examples,4
37,Excellent overview of the ways in which 3D printing is in use and how it may be used in the future.,5
38,Very well documented course.Assignments are designed such a way that it stimulates you to think out of box.,5
39,Very Good Informative Course.!!,5
40,Excellent course. I completely enjoyed it. Thank you Vishal and team.,5
41,It opened up my understanding of what could be accomplished with 3D printing,5
42,"Important information on copy rights, patents, etc.",4
